хуань	huan		huān 欢,獾,驩,貛,讙,歓,歡	huán 还,环,桓,寰,洹,還,圜,萑,鬟,鹮,锾,垸,缳,阛,镮,絙,繯,萈,綄,環	huǎn 缓,緩,睆	huàn 换,患,幻,唤,焕,宦,痪,豢,奂,涣,浣,逭,漶,鲩,擐,轘,藧,鯶,綄,喚,換,煥,瘓	
хуан	huang		huāng 荒,慌,肓	huáng 黄,煌,惶,凰,蝗,簧,磺,徨,璜,隍,潢,湟,黃,遑,篁,鳇,蟥,锽,鰉,艎,癀,趪,葟	huǎng 晃,谎,恍,幌,詤,滉,謊	huàng 晃	
хуэй	hui		huī 挥,灰,恢,辉,徽,晖,诙,麾,虺,咴,隳,袆,詼,翬,翚,褌,輝,豗,揮,暉,煇	huí 回,蛔,洄,茴,迴,蚘,鮰,廻	huǐ 毁,悔,虺,螝,毀,燬,譭	huì 会,汇,慧,惠,绘,贿,讳,晦,秽,卉,诲,彗,恚,喙,荟,蕙,烩,蟪,缋,翙,哕,阓,顪,篲,譓,詯,賄,諱,銊,穢,鐬,鏸,恵,絵,彙,會,繪,匯	
хунь	hun		hūn 婚,昏,荤,阍,葷,轋,睧,閽	hún 混,魂,浑,馄,珲,餫,渾		hùn 混,诨,溷,眃,睴	
хо	huo		huō 豁,攉,劐	huó 和,活,秳	huǒ 火,伙,夥,钬,灬	huò 和,或,获,货,霍,惑,祸,豁,蠖,藿,嚯,镬,锪,禍,貨,臛,艧,穫,靃,鑊,礊,雘,獲	
цзи	ji		jī 机,几,基,击,奇,居,激,积,鸡,肌,玑,饥,稽,圾,姬,讥,畸,缉,叽,矶,羁,唧,跻,嵇,箕,畿,乩,犄,屐,咭,赍,齑,笄,積,墼,雞,蹟,飢,剞,韲,跂,齏,羇,虀,觭,羈,鐖,鞿,稘,緝,覊,磯,禨,賷,撃,姫,機,幾,鶏,擊,譏	jí 及,即,极,集,级,急,吉,疾,辑,籍,藉,嫉,棘,汲,亟,笈,瘠,岌,楫,芨,蒺,嵴,佶,殛,戢,級,鹡,蕺,蹐,鶺,脨,踖,茍,钑,谻,蝍,鍓,箿,鞊,趌,極,輯	jǐ 己,给,几,济,挤,脊,戟,麂,虮,給,鱾,踦,掎,幾,濟,擠	jì 系,计,记,济,技,际,纪,继,既,迹,季,骑,剂,绩,寄,寂,祭,忌,冀,妓,伎,悸,暨,骥,稷,髻,鲫,偈,蓟,觊,霁,芰,荠,鲚,計,跽,繼,記,洎,際,紀,罽,蹟,繫,穊,跡,哜,績,騎,鯚,臮,穄,鵋,驥,鯽,鰿,鱀,継,剤,済,濟,劑,彐,旡	
цзя	jia		jiā 家,加,佳,夹,嘉,迦,伽,挟,茄,枷,袈,痂,浃,珈,跏,笳,葭,镓,麚,鴐,豭,貑,腵,傢,夾,挾	jiá 夹,颊,荚,戛,郏,袷,蛱,铗,恝,頰,莢,郟,頬,夾	jiǎ 假,甲,贾,钾,岬,胛,嘏,鉀,瘕,賈,仮	jià 价,假,架,驾,夹,嫁,稼,駕,価,價,夾	
цзянь	jian		jiān 间,坚,监,渐,尖,肩,兼,艰,浅,歼,奸,煎,笺,缄,鞯,間,菅,犍,缣,篯,湔,鹣,鞬,戋,蒹,搛,鰜,鵳,閒,葌,鲣,監,鬋,麉,鰹,鳒,鋻,蕳,虃,稴,箋,堅,漸,揃,姦,殲,淺,艱		jiǎn 简,检,减,剪,捡,碱,俭,拣,柬,茧,睑,锏,翦,笕,謇,蹇,戬,硷,裥,趼,簡,囝,谫,鹼,枧,瞼,鐧,蠒,減,倹,検,繭,檢,揀,撿,儉	jiàn 间,见,建,件,监,舰,剑,渐,健,键,箭,践,鉴,荐,贱,溅,谏,槛,僭,涧,饯,間,腱,見,毽,鑑,閒,鍵,監,踐,艦,薦,踺,鋻,楗,瞷,諓,礀,鍳,趝,繝,聻,跈,臶,覵,漸,剣,賤,濺,劍,澗	
цзян	jiang		jiāng 将,江,疆,僵,姜,浆,缰,豇,薑,礓,鳉,螀,鱂,將,漿,殭		jiǎng 讲,蒋,奖,桨,講,耩,蔣,奨,獎,槳	jiàng 将,强,降,匠,浆,酱,绛,犟,糨,洚,絳,謽,強,醤,將,漿,醬	
цзяо	jiao		jiāo 教,交,焦,娇,胶,骄,郊,浇,礁,蕉,椒,蛟,跤,姣,鲛,艽,鹪,茭,僬,膠,蟭,膲,簥,詨,鐎,驕,鵁,鷦,嬌,澆	jiáo 嚼,矫,矯	jiǎo 角,脚,缴,剿,狡,绞,搅,矫,侥,饺,佼,皎,铰,湫,敫,徼,矯,腳,挢,筊,餃,繳,絞,蟜,釥,攪,僥	jiào 教,觉,叫,较,校,轿,窖,酵,醮,較,峤,覺,徼,轎,噍,筊,藠,覐,窌,訆,敎	
цзе	jie		jiē 结,接,节,阶,街,皆,揭,楷,秸,嗟,結,節,階,喈,袓,脻,稭,裓,菨,掲	jié 结,节,杰,洁,截,捷,劫,竭,桔,诘,睫,颉,桀,偈,拮,孑,碣,婕,羯,結,讦,疖,節,絜,蛣,鲒,蓵,蜐,詰,訐,鞊,趌,傑,潔,卩,㔾	jiě 解,姐,飷,姉	jiè 解,界,介,借,届,戒,藉,诫,芥,疥,蚧,褯,誡,衸,蛶,屆	jie 价,價
цзинь	jin		jīn 金,今,禁,津,斤,筋,巾,襟,矜,钅,衿,觔,矝,砛,祲,菳,釿		jǐn 尽,仅,紧,谨,锦,瑾,馑,槿,堇,卺,緊,廑,謹,菫,蓳,錦,僅,儘	jìn 进,近,尽,禁,劲,晋,浸,烬,靳,噤,荩,觐,缙,妗,進,盡,赆,賮,齽,勁,晉	
цзин	jing		jīng 经,精,京,惊,睛,晶,荆,鲸,茎,兢,菁,經,旌,泾,粳,驚,腈,莖,鼱,鶄,麖,秔,綡,葏,荊,鯨,経		jǐng 警,景,井,颈,阱,憬,儆,肼,頸,刭,蟼,穽,丼	jìng 境,竟,静,竞,敬,镜,径,劲,净,靖,痉,胫,迳,靓,鏡,婧,獍,靜,競,脛,逕,竸,浄,勁,淨,徑	
цзюн	jiong		jiōng 扃,蘔,冂,冋		jiǒng 炯,窘,迥,颎,炅,絅,褧,駉,綗,冏		
цзю	jiu		jiū 究,纠,揪,鸠,啾,赳,阄,鬏,轇,鳩,糾,丩		jiǔ 九,久,酒,灸,韭,玖,紤,糺,韮	jiù 就,救,旧,舅,疚,咎,臼,厩,鹫,柩,僦,桕,舊,鷲,柾	
цзюй	ju		jū 据,车,居,拘,鞠,狙,驹,疽,掬,趄,雎,鞫,裾,苴,鮈,锔,車,琚,椐,踘,跔,艍,罝,駒	jú 局,菊,桔,橘,锔,跼,鼰,粷,閰,駶,輂,侷	jǔ 举,柜,矩,沮,咀,榘,枸,榉,龃,莒,踽,舉,蒟,筥,挙	jù 据,具,足,句,剧,巨,距,聚,拒,惧,俱,渠,锯,瞿,炬,踞,遽,飓,钜,苣,倨,讵,醵,窭,袓,虡,屦,鐻,犋,秬,鉅,鋸,簴,貗,粔,拠,劇,倶,據,懼	
цзюань	juan		juān 圈,捐,娟,鹃,涓,镌,蠲,脧,鎸		juǎn 卷,臇,巻,呟,捲	juàn 卷,圈,倦,绢,眷,隽,锩,鄄,狷,睊,睠,絹,錈,腃,絭,罥,雋	
цзюэ	jue		juē 撅,噘	jué 决,觉,绝,角,脚,爵,掘,厥,诀,崛,倔,抉,攫,獗,蕨,蹶,谲,橛,珏,噱,矍,镢,覺,桷,劂,孓,腳,絕,爝,钁,觖,觼,蕝,鴃,蹷,矡,袦,覐,芵,臄,訣,蟨,鐍,穱,躩,鴂,赽,髉,趹,覚,決	juě 蹶	juè 誳	
цзюнь	jun		jūn 军,均,君,菌,钧,麇,皲,軍,麕,鲪,頵,袀,碅,麏,覠,莙,鈞			jùn 菌,俊,郡,峻,骏,竣,浚,隽,捃,葰,馂,箘,雋,蜠,駿	
ка	ka		kā 咖,喀		kǎ 卡,咔,胩,佧		
кай	kai		kāi 开,揩,開,锎		kǎi 凯,岂,慨,恺,楷,铠,闿,锴,剀,豈,蒈,垲,鎧,凱	kài 忾	
кань	kan		kān 看,刊,堪,勘,龛,戡,栞		kǎn 砍,坎,嵌,侃,槛,顑,竷,轗,凵	kàn 看,瞰,阚,磡,矙,竷	
кан	kang		kāng 康,慷,糠,闶,鱇,躿	káng 扛		kàng 抗,炕,亢,伉,钪,鈧	
као	kao		kāo 尻		kǎo 考,烤,拷,栲,丂	kào 靠,铐,犒,鲓	
кэ	ke		kē 科,颗,柯,棵,磕,苛,珂,轲,瞌,蝌,窠,颏,髁,稞,疴,簻,顆,钶,窼,趷,薖,軻,頦	ké 咳,颏	kě 可,渴,轲,坷,岢,軻,渇	kè 可,克,客,刻,课,磕,恪,嗑,缂,氪,溘,锞,課,骒,艐,袔,碦,礊,騍	
кэнь	ken				kěn 肯,恳,垦,啃,龈,肻,齦,懇,墾	kèn 裉	
кэн	keng		kēng 坑,吭,铿,硁				
кун	kong		kōng 空,崆,倥,箜,躻,鵼		kǒng 恐,孔,倥	kòng 空,控,鞚	
коу	kou		kōu 抠,芤,眍		kǒu 口	kòu 扣,寇,叩,佝,蔻,筘,蔲,鷇,釦	
ку	ku		kū 哭,枯,窟,骷,堀,矻,刳,跍,郀,秙		kǔ 苦	kù 库,酷,裤,绔,喾,褲,秙,庫	
куа	kua		kuā 夸,誇,絓		kuǎ 垮,侉,銙	kuà 跨,挎,胯,趶,骻	
куай	kuai				kuǎi 蒯	kuài 会,快,块,筷,脍,侩,狯,哙,浍,鲙,郐,鄶,駃,塊,會	
куань	kuan		kuān 宽,髋,臗,寛,寬		kuǎn 款,窾		
куан	kuang		kuāng 匡,筐,诓,哐,邼,硄	kuáng 狂,诳,軠,鵟	kuǎng 夼	kuàng 况,矿,框,旷,眶,邝,圹,纩,贶,礦,鑛,眖,黋,鄺,況,鉱,曠	
куй	kui		kuī 亏,窥,盔,岿,悝,虧,顝,聧,闚,窺	kuí 魁,奎,葵,逵,睽,夔,揆,馗,隗,暌,喹,蝰,骙	kuǐ 傀,跬,頍,蹞	kuì 溃,愧,馈,匮,喟,篑,聩,愦,聭,饋,膭,蒉,瞆,籄,聵,餽,潰	
кунь	kun		kūn 昆,坤,琨,锟,髡,鲲,醌,裈,鹍,髠,裩,蜫,崑		kǔn 捆,阃,悃,硱,稛,綑,稇,梱	kùn 困,睏	
ко	kuo					kuò 适,括,扩,阔,廓,蛞,闊,霩,秳,鞟,拡,擴	
ла	la		lā 拉,啦,垃,喇,邋	lá 剌,旯,砬	lǎ 喇,藞	là 落,腊,辣,蜡,剌,瘌,镴,臘,辢,臈,蠟,蝋	la 啦,鞡
лай	lai			lái 来,莱,涞,徕,崃,铼,萊,鶆,來		lài 赖,睐,籁,濑,癞,赉,賴,睞,賚,鵣,瀬,頼	
лань	lan			lán 兰,蓝,拦,栏,篮,岚,澜,婪,阑,斓,褴,镧,谰,襕,蘭,讕,葻,藍,籣,闌,繿,襽,嵐,欄,籃,攔	lǎn 览,懒,揽,缆,榄,罱,漤,覧,覽,攬,纜,懶,欖	làn 烂,滥,糷,濫,爛	
лан	lang		lāng 啷	láng 郎,狼,廊,琅,螂,榔,阆,锒,鎯,艆,郞,稂,閬	lǎng 朗	làng 浪,阆,莨,蒗,閬	
лао	lao		lāo 捞,粩,撈	láo 劳,牢,唠,崂,痨,醪,顟,铹,蟧,労,勞,嘮	lǎo 老,老,姥,佬,潦,铑,栳,蛯,荖,耂	lào 落,劳,络,唠,烙,酪,涝,絡,躼,耢,耮,勞,嘮	
лэ	le					lè 乐,勒,叻,泐,仂,鳓,簕,韷,楽,樂	le 了,饹
лэй	lei		lēi 勒	léi 雷,累,擂,镭,羸,嫘,缧,蔂,檑,罍,鐳,鑘,纍	lěi 累,垒,蕾,磊,儡,诔,耒,絫,磥,蕌,礨,鸓,蠝,塁,壘	lèi 类,泪,累,肋,擂,類,礌,酹,涙,淚	lei 嘞
лэн	leng			léng 棱,楞,塄,稜,薐,崚	lěng 冷	lèng 愣,楞,睖	
ли	li			lí 离,丽,黎,璃,厘,狸,梨,篱,犁,漓,罹,蠡,藜,蜊,骊,嫠,鹂,鲡,黧,喱,缡,離,釐,麗,蓠,醨,貍,褵,謧,鯏,鋫,盠,邌,鯬,菞,筣,籬,鱺,琍	lǐ 里,理,李,礼,哩,鲤,蠡,俚,澧,锂,醴,娌,逦,裡,鳢,悝,鱧,粴,禮,禮,鋰,豊,鯉,浬	lì 力,利,立,历,例,丽,厉,励,粒,隶,莉,吏,栗,笠,砾,雳,俐,沥,荔,痢,戾,蛎,詈,俪,栎,砺,莅,郦,傈,枥,跞,唳,粝,疠,呖,溧,苈,猁,疬,轹,鬲,篥,坜,麗,麜,隸,蒞,脷,苙,磿,綟,讈,藶,蠣,赲,躒,暦,歴,栃,戻,隷,慄,礫,歷,曆,厲,勵	li 哩
ля	lia				liǎ 俩,倆		
лянь	lian			lián 联,连,怜,廉,莲,帘,镰,涟,濂,臁,鲢,裢,蠊,奁,連,鐮,蓮,聯,簾,鎌,鬑,聫,漣,憐	liǎn 脸,敛,琏,裣,莶,臉,羷,斂	liàn 练,恋,炼,链,敛,殓,楝,練,潋,鍊,鏈,稴,錬,戀,斂,煉	
лян	liang			liáng 量,良,粮,梁,凉,踉,粱,椋,辌,墚,糧,涼,樑	liǎng 两,魉,裲,脼,蜽,両,兩	liàng 量,亮,辆,凉,谅,踉,晾,靓,諒,涼,輛	
ляо	liao		liāo 撩,蹽	liáo 疗,聊,辽,僚,寥,撩,缭,燎,寮,獠,嘹,鹩,豂,膫,繚,膋,竂,蟧,療,遼	liǎo 了,缪,燎,钌,蓼,繆	liào 料,廖,撂,瞭,镣,钌,尥,鐐	
ле	lie		liē 咧		liě 咧	liè 列,烈,裂,猎,劣,洌,冽,趔,鬣,捩,鱲,埒,躐,鬛,蛚,鴷,綟,睙,茢,脟,猟,獵	lie 咧
линь	lin		līn 拎	lín 林,临,邻,淋,琳,麟,鳞,磷,霖,粼,嶙,遴,啉,臨,辚,箖,鄰,麐,粦,驎,瞵,鱗,鏻,隣,痳	lǐn 凛,懔,廪,檩,箖,凜	lìn 淋,赁,吝,躏,蔺,膦,藺,轥,賃	
лин	ling			líng 令,灵,零,龄,凌,玲,陵,铃,菱,伶,绫,翎,聆,羚,苓,蛉,呤,棂,囹,鲮,泠,瓴,酃,靈,鸰,袊,齡,舲,笭,跉,柃,齢,鈴,秢,祾,詅,醽,輘,霝,魿,鴒,霊,綾,澪	lǐng 领,令,岭,領,袊,嶺	lìng 令,另	
лю	liu		liū 溜,熘	liú 流,留,刘,瘤,榴,硫,浏,琉,馏,镏,鎏,旒,镠,骝,鰡,飗,駵,鏐,飀,鹠,藰,驑,瑠,劉,瀏	liǔ 柳,绺,锍,罶,羀,綹,藰	liù 六,陆,碌,遛,馏,鹨,蹓,陸,霤,鬸	
лё	lo						lo 咯
лун	long		lōng 隆	lóng 龙,隆,笼,胧,聋,咙,珑,窿,茏,泷,砻,眬,栊,龍,龍,癃,鑨,籠,襱,霳,龒,躘,驡,礱,蠪,篭,龓,聾,滝,竜,朧,嚨	lǒng 笼,垄,拢,陇,垅,籠,龓,壟,攏	lòng 弄	
лоу	lou		lōu 搂,摟	lóu 楼,喽,髅,娄,偻,蝼,蒌,耧,謱,蔞,瞜,貗,髏,鞻,樓	lǒu 搂,篓,嵝,簍,摟	lòu 露,漏,陋,镂,瘘,鏤	lou 喽,瞜
лу	lu		lū 噜,撸	lú 卢,炉,芦,庐,颅,鲈,鸬,胪,泸,舻,轳,栌,垆,顱,鈩,蘆,纑,艫,馿,臚,鑪,爐,盧	lǔ 鲁,虏,掳,卤,橹,氇,镥,蓾,虜,艣,磠,魯	lù 路,陆,露,录,鹿,禄,碌,赂,戮,麓,漉,璐,辘,箓,潞,鹭,渌,逯,蓼,辂,陸,簏,錄,蕗,菉,盝,鏕,録,鴼,祿,簬,粶,騼,騄,睩,稑,醁,賂,籙,鷺	
луань	luan			luán 挛,峦,鸾,銮,孪,栾,滦,脔,娈,鑾,羉	luǎn 卵	luàn 乱,釠,亂	
люэ	lue					lüè 略,掠,锊	
лунь	lun		lūn 抡	lún 论,伦,轮,仑,沦,纶,抡,囵,論,輪,菕,鯩,腀,倫,綸,淪		lùn 论,論	
ло	luo		luō 捋,啰,囉	luó 罗,逻,螺,萝,锣,骡,椤,箩,猡,镙,騾,驘,脶,羅,蘿,鸁,鏍,邏,鑼,籮,囉	luǒ 裸,倮,瘰,蠃,蓏,砢,躶	luò 落,洛,络,咯,骆,摞,珞,雒,荦,絡,泺,笿,駱	luo 啰,囉
люй	lv			lǘ 驴,榈,闾,閭,藘,驢,瞜	lǚ 旅,吕,履,屡,侣,缕,铝,捋,褛,偻,膂,絽,稆,郘,縷,褸,呂,侶,鋁,屢	lǜ 律,率,虑,绿,氯,滤,葎,綠,鑢,膟,繂,緑,慮,濾	
люань	lvan						
люнь	lvn						
м	m						m 呒
ма	ma		mā 妈,抹,蚂,螞,媽	má 么,麻,蟆,麼,蔴	mǎ 马,吗,玛,码,蚂,犸,馬,碼,螞,嗎,瑪	mà 骂,蚂,杩,螞,祃,罵,駡,禡	ma 么,吗,嘛,麼,嗎
май	mai			mái 埋,霾	mǎi 买,買,荬,蕒	mài 卖,麦,脉,迈,劢,脈,麥,唛,賣,邁,売	
мань	man		mān 颟	mán 埋,蛮,瞒,蔓,馒,谩,鳗,鞔,鬘,蠻,饅,鰻,瞞	mǎn 满,螨,満,滿	màn 慢,曼,漫,蔓,幔,谩,缦,熳,墁,镘,鄤,蔄	
ман	mang			máng 忙,茫,盲,芒,氓,邙,硭,铓,駹,盳,笀,蛖	mǎng 莽,蟒,莾,蠎,漭,茻		
мао	mao		māo 猫,貓	máo 毛,矛,茅,髦,锚,牦,蟊,旄,蝥,茆,髳,鶜,錨	mǎo 卯,峁,铆,昴,茆,泖	mào 贸,冒,貌,帽,茂,袤,懋,耄,瑁,旄,瞀,眊,貿,鄮,芼,冃	
мэ	me						me 么,麼
мэй	mei			méi 没,梅,眉,媒,煤,枚,玫,霉,酶,湄,糜,嵋,楣,莓,镅,鹛,郿,黴,猸,鋂,禖,鎇,沒	měi 美,每,镁,浼,羙,毎	mèi 妹,媚,昧,谜,魅,寐,袂,跊,篃,鬽,祙,謎	
мэнь	men		mēn 闷,悶	mén 门,扪,钔,門,穈,虋		mèn 闷,懑,焖,鞔,悶	men 们,們
мэн	meng		mēng 蒙,矇	méng 蒙,盟,朦,萌,氓,檬,虻,艨,瞢,礞,甍,鄳,矒,濛	měng 蒙,猛,懵,锰,蠓,蜢,勐,艋,矒	mèng 梦,孟,夢	
ми	mi		mī 眯,咪,瞇	mí 迷,弥,谜,眯,靡,糜,猕,麋,醚,縻,蘼,祢,瞇,醿,蒾,麊,醾,詸,蘪,鸍,謎,彌,瀰	mǐ 米,靡,弭,敉,芈,脒,粎,葞	mì 密,秘,蜜,泌,觅,谧,宓,汨,嘧,幂,覓,鼏,覛,糸,冖	
мянь	mian			mián 棉,眠,绵,綿,矊,緜,宀	miǎn 免,勉,缅,冕,娩,腼,湎,沔,靦,眄	miàn 面,眄,靣,麵,麺,麪	
мяо	miao		miāo 喵	miáo 描,苗,瞄,鹋,鶓	miǎo 秒,渺,藐,缈,淼,邈,眇,杪,緲	miào 妙,庙,缪,繆,廟	
ме	mie		miē 咩,乜			miè 灭,蔑,篾,蠛,眜,鴓,滅,衊	
минь	min			mín 民,岷,缗,珉,玟,緡,苠,鈱,盿,賯,緍,罠	mǐn 敏,悯,闽,闵,抿,皿,泯,黾,愍,鳘,簢,閔,鰵,憫		
мин	ming			míng 明,名,鸣,铭,冥,茗,瞑,溟,螟,暝,鳴,眳,蓂,銘,眀,鄍,詺	mǐng 酩	mìng 命	
мю	miu					miù 谬,缪,謬,繆	
мо	mo		mō 摸	mó 模,摩,魔,摸,磨,膜,麽,摹,谟,蘑,馍,嬷,麼,嫫,糢,骳,藦,謨,饝,謩	mǒ 抹,麿	mò 没,万,莫,默,末,墨,磨,脉,漠,抹,陌,沫,寞,蓦,茉,殁,秣,貉,镆,脈,貘,貊,耱,鄚,驀,瘼,靺,瞐,眜,黙,沒	
моу	mou		mōu 哞	móu 谋,牟,缪,眸,鍪,蛑,侔,鴾,繆,麰,鞪,謀	mǒu 某,厶		
му	mu			mú 模	mǔ 母,姆,亩,姥,牡,拇,坶,砪,畝	mù 目,木,幕,牧,穆,墓,慕,募,暮,牟,睦,缪,沐,苜,钼,仫,雮,坶,繆,艒,鞪,霂	
нь	n						
на	na		nā 那	ná 拿,镎,蒘,誽,秅	nǎ 那,哪	nà 那,纳,娜,呐,钠,捺,衲,肭,納,靹,袦,鈉	na 哪,呐,吶
най	nai				nǎi 乃,奶,氖,艿,迺,釢	nài 耐,奈,鼐,萘,柰,螚,褦	
нань	nan		nān 囡,囝	nán 难,南,男,喃,楠,難	nǎn 赧,蝻,腩	nàn 难,難	
нан	nang		nāng 囔	náng 囊,馕	nǎng 馕,曩,攮		
нао	nao		nāo 孬	náo 挠,呶,蛲,硇,铙,猱,蟯,撓	nǎo 脑,恼,瑙,腦,垴,脳,悩,惱	nào 闹,淖,臑,鬧	
нэ	ne					nè 讷,眲,疒	ne 呢
нэй	nei				něi 哪,馁,脮,鮾,餒,鯘	nèi 内,錗,內	
нэнь	nen					nèn 嫩,恁	
нэн	neng			néng 能			
н	ng						
ни	ni		nī 妮	ní 呢,尼,泥,倪,霓,怩,猊,鲵,铌,坭,麑,蜺,聣,貎,輗,齯	nǐ 你,拟,伲,旎,薿,聻,禰,擬,妳	nì 泥,逆,匿,腻,溺,昵,睨,伲,膩,誽	
нянь	nian		niān 拈,蔫	nián 年,粘,黏,鲇,鲶,秊,鮎	niǎn 捻,碾,撵,辇,蹨,輦	niàn 念,廿,埝,唸	
нян	niang			niáng 娘,釀,嬢,孃		niàng 酿,醸	
няо	niao				niǎo 鸟,袅,茑,嬲,蔦,鳥	niào 尿,溺,脲	
не	nie		niē 捏	nié 苶		niè 涅,聂,孽,蹑,嗫,啮,镍,颞,臬,镊,蘖,陧,齧,顳,鑷,糱,鋷,聶,籋,噛,囁	
нинь	nin			nín 您,恁			
нин	ning			níng 宁,凝,拧,狞,柠,咛,甯,聍,苧,聹,寧,擰	nǐng 拧,矃,擰	nìng 宁,拧,泞,佞,寧,擰	
ню	niu		niū 妞	niú 牛,⺧	niǔ 纽,扭,钮,忸,狃,紐,鈕,靵	niù 拗	
нун	nong			nóng 农,浓,侬,脓,哝,膿,秾,農,醲,襛,濃		nòng 弄	
ноу	nou			nóu 羺		nòu 耨	
ну	nu			nú 奴,驽,孥	nǔ 努,弩,呶,胬,砮	nù 怒	
нуань	nuan				nuǎn 暖,煖		
нюэ	nue					nüè 虐,疟	
нунь	nun						
но	nuo			nuó 那,娜,挪,傩		nuò 诺,懦,喏,糯,锘,搦,鍩,稬,諾	
нюй	nv				nǚ 女,女,钕	nǜ 衄,恧,衂	
о	o		ō 噢,喔	ó 哦		ò 哦	o 哦,筽
оу	ou		ōu 区,欧,殴,鸥,讴,沤,瓯,鏂,區,歐,嘔,毆,鷗		ǒu 偶,呕,禺,藕,耦,蕅,嘔	òu 沤,怄,嘔	
па	pa		pā 啪,趴,葩	pá 爬,扒,琶,耙,杷,钯,筢,跁		pà 怕,帕	
пай	pai		pāi 拍	pái 排,牌,徘,俳,簰		pài 派,湃,哌	
пань	pan		pān 番,潘,攀,扳,眅	pán 般,盘,胖,磐,蹒,蟠,磻,盤,眫,蹣,跘,槃		pàn 判,板,叛,盼,畔,拚,袢,泮,襻,鋬,闆	
пан	pang		pāng 膀,乓,滂	páng 旁,庞,膀,彷,螃,雱,逄,鳑,趽,鰟,龎,龐	pǎng 耪	pàng 胖,眫	
пао	pao		pāo 抛,泡,脬,萢,拋	páo 跑,炮,袍,咆,刨,庖,匏,狍,麃,袌,麅,鞄,褜	pǎo 跑	pào 炮,泡,疱,砲,袌,礮	
пэй	pei		pēi 胚,呸,醅,肧	péi 培,陪,赔,裴,锫,賠		pèi 配,佩,沛,辔,旆,帔,霈,珮	
пэнь	pen		pēn 喷,噴	pén 盆,湓	pěn 翸	pèn 喷,噴	
пэн	peng		pēng 砰,抨,烹,怦,嘭,閛,磞	péng 朋,彭,鹏,蓬,膨,棚,篷,澎,硼,蟛,堋,纄,芃,髼,韼,鵬,鬅,錋	pěng 捧	pèng 碰,踫,磞	
пи	pi		pī 批,匹,披,劈,霹,丕,坯,噼,砒,纰,邳,魾,錃,秠	pí 皮,疲,脾,啤,毗,琵,裨,枇,罴,鼙,铍,蚍,貔,蜱,芘,鲏,郫,埤,陴,禆,螕,鮍,腗,蚾,篺,隦	pǐ 否,匹,劈,癖,痞,圮,庀,仳,擗	pì 辟,屁,譬,僻,媲,甓,淠,鸊,闢,鷿,髲	
пянь	pian		piān 片,篇,偏,扁,翩,犏	pián 便,匾,骈,胼,蹁,跰,骿	piǎn 谝	piàn 片,骗,騙,魸	
пяо	piao		piāo 飘,漂,剽,嘌,螵,魒,飄	piáo 朴,嫖,瓢	piǎo 漂,瞟,缥,莩,殍,醥,縹	piào 票,漂,嘌,骠	
пе	pie		piē 瞥,撇,氕		piě 撇,苤,丿		
пинь	pin		pīn 拼,拚,姘,砏	pín 贫,频,苹,嫔,颦,頻,蘋,貧	pǐn 品,榀	pìn 聘,牝	
пин	ping		pīng 乒,娉,俜,聠	píng 平,评,凭,瓶,冯,屏,萍,苹,坪,鲆,枰,蘋,評,軿,馮,蛢,蓱,缾,輧,塀,憑			
по	po		pō 坡,颇,泊,泼,陂,钋,頗,釙,酦,醱,潑	pó 婆,鄱,皤	pǒ 叵,笸,钷,箥	pò 破,迫,朴,魄,珀,粕,蒪	
поу	pou		pōu 剖	póu 掊,裒	pǒu 掊,咅		
пу	pu		pū 扑,铺,仆,噗,攵,攴,陠,鋪,撲	pú 仆,葡,菩,蒲,脯,璞,匍,濮,莆,酺,镤,穙,纀,菐,贌,僕	pǔ 普,朴,浦,谱,埔,圃,溥,蹼,氆,镨,譜,樸	pù 堡,铺,瀑,曝,舖,鋪,舗	
ци	qi		qī 期,七,妻,欺,漆,戚,凄,栖,缉,沏,嘁,萋,桤,柒,顣,郪,諆,緝,鶈,喰,棲,淒,慼,悽	qí 其,奇,齐,骑,旗,歧,棋,祈,崎,鳍,琪,琦,祁,祺,俟,衹,耆,脐,岐,淇,芪,麒,畦,蛴,圻,颀,祇,蕲,綦,亓,荠,锜,骐,萁,臍,碁,蜞,碕,鯕,鲯,跂,頎,齊,鮨,鄿,騎,麡,禥,鬐,鬿,簯,蚑,竒,艩,稘,粸,螧,埼,斉,旂	qǐ 起,企,启,岂,稽,乞,绮,杞,芑,綮,跂,豈,屺,邔,啓,綺,啟	qì 气,器,妻,弃,汽,契,泣,迄,砌,亟,憩,讫,碛,槭,葺,碶,汔,謦,跂,磜,蟿,磩,礘,矵,鐑,棄,気,氣	
ця	qia		qiā 掐,葜		qiǎ 卡,跒,峠	qià 恰,洽,髂,硈	
цянь	qian		qiān 千,签,迁,牵,谦,铅,骞,阡,愆,仟,悭,佥,芊,扦,钎,褰,搴,籤,遷,竏,鹐,蚈,騫,韆,簽,鉛,岍,謙,牽	qián 前,钱,潜,乾,虔,钳,黔,掮,钤,箝,錢,軡,鰬,銭,潛,鉗	qiǎn 浅,遣,谴,肷,缱,蜸,淺,譴	qiàn 欠,纤,歉,倩,嵌,茜,堑,芡,慊,椠,蒨,篟	
цян	qiang		qiāng 将,枪,抢,腔,跄,呛,羌,锵,戕,鎗,蜣,戗,锖,镪,錆,鏘,蹌,篬,羗,蹡,槍,將,搶	qiáng 强,墙,蔷,樯,嫱,薔,艢,強,牆,丬	qiǎng 强,抢,襁,羟,镪,強,搶	qiàng 跄,呛,炝,蹌,蹡	
