цэ	ce					cè 策,测,侧,册,厕,恻,筴,粣,笧,萗,箣,蓛,測,側,冊,廁	
цэнь	cen		cēn 篸	cén 岑,涔			
цэн	ceng		cēng 噌	céng 曾,层,曽,層		cèng 蹭	
ча	cha		chā 差,插,叉,喳,嚓,杈,锸,馇,艖,臿,鍤,挿	chá 查,察,茶,叉,茬,碴,搽,楂,槎,檫,猹,詧,秅,査	chǎ 叉,衩,蹅,镲	chà 差,刹,诧,岔,杈,衩,姹,汊,詫,剎	
чай	chai		chāi 差,拆,钗,肞	chái 柴,豺,侪	chǎi 茝	chài 虿,瘥,袃,蠆	
чань	chan		chān 掺,搀,觇,辿,攙	chán 缠,禅,崭,蝉,馋,蟾,婵,潺,谗,孱,廛,澶,蟬,躔,酁,繟,镵,鋋,鑱,纒,禪,纏,鄽,嶄,饞	chǎn 产,阐,铲,谄,蒇,冁,繟,諂,鏟,閳,闡,骣,産,產	chàn 颤,忏,羼,顫,韂,硟	
чан	chang		chāng 昌,猖,娼,菖,伥,阊,鲳,閶,闛	cháng 长,常,场,偿,尝,肠,倘,裳,嫦,長,苌,腸,徜,鲿,場,償,嘗,嚐	chǎng 场,厂,敞,昶,氅,惝,鋹,場,廠	chàng 唱,畅,倡,怅,鬯,暢	
чао	chao		chāo 超,抄,剿,钞,绰,焯,窼,怊,鈔,綽	cháo 朝,潮,巢,嘲,晁,鼂,謿,鄛,巣	chǎo 吵,炒,麨	chào 耖	
чэ	che		chē 车,砗,車		chě 尺,扯	chè 彻,撤,辙,澈,掣,坼,徹,屮,轍	
чэнь	chen		chēn 沉,琛,嗔,抻,郴,綝,瞋	chén 陈,沉,臣,晨,沈,尘,辰,忱,谌,宸,陳,蔯,軙,麎,茞,跈,鈂,塵	chěn 碜,贂,踸,磣	chèn 称,趁,衬,谶,榇,龀,稱,穪,襯	
чэн	cheng		chēng 称,撑,秤,瞠,铛,稱,噌,蛏,柽,鐣,穪,赪,頳,鏿,碀,矃,淨,撐	chéng 成,程,城,承,盛,诚,乘,呈,惩,澄,丞,橙,晟,裎,枨,铖,塍,酲,埕,郕,脭,誠,絾,懲,乗	chěng 逞,骋,裎,樘,騁	chèng 称,秤,稱,穪	
чи	chi		chī 离,吃,痴,嗤,哧,蚩,笞,魑,媸,螭,鸱,郗,粚,眵,胵,絺,鴟,鵄,喫	chí 持,迟,池,驰,匙,弛,篪,墀,踟,坻,茌,遲,馳,菭,邌,竾,筂,遅	chǐ 尺,齿,耻,侈,褫,豉,齒,恥,歯,呎	chì 赤,斥,翅,叱,炽,敕,饬,啻,瘛,踅,傺,趩,飭,鶒,鷘,勅,彳	
чун	chong		chōng 充,冲,涌,忡,憧,舂,艟,衝,翀,茺,蹖,沖	chóng 重,虫,崇,蟲	chǒng 宠,寵	chòng 冲,铳,衝,銃	
чоу	chou		chōu 抽,瘳	chóu 仇,筹,酬,愁,绸,畴,踌,稠,惆,俦,雠,紬,雔,帱,籌,裯,醻,鯈,絒,讐,躊,綢,疇	chǒu 丑,瞅,醜	chòu 臭	chou 鮘
